rank,multiplicity,source_records,distinct_rings,duplicates,literal_repeats,new_labellings,commutative,noncommutative
5,1,16,16,0,0,0,16,0
5,2,37,37,0,0,0,37,0
5,3,82,82,0,0,0,82,0
5,4,134,134,0,0,0,134,0
5,5,209,209,0,0,0,209,0
5,6,336,336,0,0,0,336,0
5,7,477,477,0,0,0,477,0
5,8,733,733,0,0,0,733,0
5,9,863,863,0,0,0,863,0
5,10,1082,1082,0,0,0,1082,0
5,11,1383,1383,0,0,0,1383,0
5,12,1948,1948,0,0,0,1948,0
5,13,2211,2211,0,0,0,2211,0
5,14,2554,2554,0,0,0,2554,0
5,15,2936,2936,0,0,0,2936,0
5,16,4157,4157,0,0,0,4157,0
5,17,4255,4255,0,0,0,4255,0
5,18,5080,5080,0,0,0,5080,0
5,19,5640,5640,0,0,0,5640,0
